country,gender,age,count
Ireland,Male,55 to 59,10375
Ireland,Male,60 to 64,10660
Ireland,Male,65 to 69,13160
Ireland,Male,70 to 74,15790
Ireland,Male,75 to 79,14905
Ireland,Male,80 to 84,10585
Ireland,Male,85 and over,7430
Italy,Female,0 to 04,3155
Italy,Female,05 to 09,9095
Italy,Female,10 to 15,13875
Italy,Female,16 to 19,7620
Italy,Female,20 to 24,12040
Italy,Female,25 to 29,16250
Italy,Female,30 to 34,14880
Italy,Female,35 to 39,11010
Italy,Female,40 to 44,8080
Italy,Female,45 to 49,7460
Italy,Female,50 to 54,5685
Italy,Female,55 to 59,3915
Italy,Female,60 to 64,2870
Italy,Female,65 to 69,2860
Italy,Female,70 to 74,3255
Italy,Female,75 to 79,2370
Italy,Female,80 to 84,3440
Italy,Female,85 and over,5085
Italy,Male,0 to 04,3125
Italy,Male,05 to 09,9685
Italy,Male,10 to 15,14940
Italy,Male,16 to 19,7640
Italy,Male,20 to 24,10240
Italy,Male,25 to 29,16420
Italy,Male,30 to 34,16990
Italy,Male,35 to 39,13405
Italy,Male,40 to 44,10100
Italy,Male,45 to 49,9045
Italy,Male,50 to 54,6580
Italy,Male,55 to 59,4890
Italy,Male,60 to 64,4150
Italy,Male,65 to 69,3885
Italy,Male,70 to 74,4185
Italy,Male,75 to 79,3185
Italy,Male,80 to 84,2960
Italy,Male,85 and over,2300
Nigeria,Female,0 to 04,1525
Nigeria,Female,05 to 09,2565
Nigeria,Female,10 to 15,4105
Nigeria,Female,16 to 19,4995
Nigeria,Female,20 to 24,7535
Nigeria,Female,25 to 29,10170
Nigeria,Female,30 to 34,13900
Nigeria,Female,35 to 39,18240
Nigeria,Female,40 to 44,20045
Nigeria,Female,45 to 49,15870
Nigeria,Female,50 to 54,12875
Nigeria,Female,55 to 59,10465
Nigeria,Female,60 to 64,7075
Nigeria,Female,65 to 69,3245
Nigeria,Female,70 to 74,2380
Nigeria,Female,75 to 79,2010
Nigeria,Female,80 to 84,1280
Nigeria,Female,85 and over,495
Nigeria,Male,0 to 04,1635
Nigeria,Male,05 to 09,2630
Nigeria,Male,10 to 15,4035
Nigeria,Male,16 to 19,4865
Nigeria,Male,20 to 24,6750
Nigeria,Male,25 to 29,8195
Nigeria,Male,30 to 34,11985
Nigeria,Male,35 to 39,16355
Nigeria,Male,40 to 44,17190
Nigeria,Male,45 to 49,15995
Nigeria,Male,50 to 54,14105
Nigeria,Male,55 to 59,11300
Nigeria,Male,60 to 64,8975
Nigeria,Male,65 to 69,3790
Nigeria,Male,70 to 74,1785
Nigeria,Male,75 to 79,945
Nigeria,Male,80 to 84,985
Nigeria,Male,85 and over,475
Bangladesh,Female,0 to 04,455
Bangladesh,Female,05 to 09,1130
Bangladesh,Female,10 to 15,2255
Bangladesh,Female,16 to 19,2615
Bangladesh,Female,20 to 24,6280
Bangladesh,Female,25 to 29,9965
Bangladesh,Female,30 to 34,17495
Bangladesh,Female,35 to 39,20900
Bangladesh,Female,40 to 44,22135
Bangladesh,Female,45 to 49,17180
Bangladesh,Female,50 to 54,10480
Bangladesh,Female,55 to 59,6545
Bangladesh,Female,60 to 64,5125
Bangladesh,Female,65 to 69,5365
Bangladesh,Female,70 to 74,3640
Bangladesh,Female,75 to 79,2295
Bangladesh,Female,80 to 84,1975
Bangladesh,Female,85 and over,1080
Bangladesh,Male,0 to 04,500
Bangladesh,Male,05 to 09,1130
Bangladesh,Male,10 to 15,2540
Bangladesh,Male,16 to 19,2670
Bangladesh,Male,20 to 24,5220
Bangladesh,Male,25 to 29,6545
Bangladesh,Male,30 to 34,11075
Bangladesh,Male,35 to 39,16150
Bangladesh,Male,40 to 44,23485
Bangladesh,Male,45 to 49,22630
Bangladesh,Male,50 to 54,16915
Bangladesh,Male,55 to 59,10235
Bangladesh,Male,60 to 64,7605
Bangladesh,Male,65 to 69,4030
Bangladesh,Male,70 to 74,1200
Bangladesh,Male,75 to 79,1280
Bangladesh,Male,80 to 84,1835
Bangladesh,Male,85 and over,1085
Germany,Female,0 to 04,970
Germany,Female,05 to 09,2275
Germany,Female,10 to 15,4340
Germany,Female,16 to 19,4605
Germany,Female,20 to 24,8445
Germany,Female,25 to 29,11785
Germany,Female,30 to 34,14215
Germany,Female,35 to 39,14315
Germany,Female,40 to 44,14345
Germany,Female,45 to 49,14080
Germany,Female,50 to 54,13940
Germany,Female,55 to 59,12965
Germany,Female,60 to 64,8275
Germany,Female,65 to 69,6335
Germany,Female,70 to 74,6235
Germany,Female,75 to 79,3550
Germany,Female,80 to 84,3915
Germany,Female,85 and over,5285
Germany,Male,0 to 04,1015
Germany,Male,05 to 09,2500
Germany,Male,10 to 15,4515
Germany,Male,16 to 19,4710
Germany,Male,20 to 24,7355
Germany,Male,25 to 29,9830
Germany,Male,30 to 34,11170
Germany,Male,35 to 39,11415
Germany,Male,40 to 44,10835
Germany,Male,45 to 49,11315
Germany,Male,50 to 54,10860
Germany,Male,55 to 59,9760
Germany,Male,60 to 64,5960
Germany,Male,65 to 69,4695
Germany,Male,70 to 74,4315
Germany,Male,75 to 79,1475
Germany,Male,80 to 84,885
Germany,Male,85 and over,880
South Africa,Female,0 to 04,840
South Africa,Female,05 to 09,2220
South Africa,Female,10 to 15,3310
South Africa,Female,16 to 19,2790
South Africa,Female,20 to 24,5730
South Africa,Female,25 to 29,8485
South Africa,Female,30 to 34,10675
South Africa,Female,35 to 39,14020
South Africa,Female,40 to 44,13980
South Africa,Female,45 to 49,14200
South Africa,Female,50 to 54,9530
South Africa,Female,55 to 59,6245
South Africa,Female,60 to 64,5710
South Africa,Female,65 to 69,5220
South Africa,Female,70 to 74,4540
South Africa,Female,75 to 79,2985
South Africa,Female,80 to 84,1710
South Africa,Female,85 and over,1505
South Africa,Male,0 to 04,885
South Africa,Male,05 to 09,2225
South Africa,Male,10 to 15,3450
South Africa,Male,16 to 19,2805
South Africa,Male,20 to 24,5670
South Africa,Male,25 to 29,7860
South Africa,Male,30 to 34,10110
South Africa,Male,35 to 39,13755
South Africa,Male,40 to 44,14030
South Africa,Male,45 to 49,13400
South Africa,Male,50 to 54,8650
South Africa,Male,55 to 59,5315
South Africa,Male,60 to 64,4450
South Africa,Male,65 to 69,3615
South Africa,Male,70 to 74,3145
South Africa,Male,75 to 79,2205
South Africa,Male,80 to 84,1110
South Africa,Male,85 and over,795
