Rank,Countryofbirth,previous,current
1,India,"6,94,148","9,20,361"
2,Poland,"5,79,121","7,43,083"
3,Pakistan,"4,82,137","6,23,557"
4,Romania,"79,687","5,38,840"
5,Ireland,"4,07,357","3,24,670"
6,Italy,"1,34,619","2,76,669"
7,Bangladesh,"2,11,500","2,73,042"
8,Nigeria,"1,91,183","2,70,768"
9,Germany,"2,73,564","2,63,368"
10,South Africa,"1,91,023","2,17,180"
